Blog	here	want	how	re	than	best	never	and	much	life	things	had	has	right	old	people	for	time	team	love	such	so	years	internet	one	say	take	going	where	many	s	photos	being	around	world	her	with	an	as	at	to	past	full	more	its	always	really	number	also	into	set	see	last	great	d	be	by	up	us	video	next	this	doing	could	should	ve	site	off	does	work	after	then	them	they	another	just	do	we	com	the	night	post	months	way	was	live	can	still	not	now	year	that	only	between	these	real	read	early	t	business	your	lot	you	very	a	help	actually	since	pretty	probably	both	look	while	game	some	doesn	go	need	she	i	well	he	even	new	before	better	don	m	said	appeared	three	is	it	in	if	make	down	me	did	making	may	man	talk	thing	think	first	long	little	were	show	get	according	those	same	money	again	two	through	most	find	big	back	ll	day	have	like	about	but	would	my	over	each	got	free	days	top	too	took	news	been	donald	no	when	company	says	today	trump	any	good	week	blog	on	of	or	there	all	what	might	story	his	him	are	because	use	from	few	something	our	out	their	which	who	why	will	other	know	own	made
Deadspin	2	1	2	0	2	4	2	24	5	0	0	1	5	1	2	1	11	3	2	0	0	0	1	0	3	1	0	2	0	0	19	1	1	0	0	7	9	4	4	6	31	0	2	28	0	1	1	1	4	4	0	2	3	1	1	4	0	5	3	0	0	3	0	3	5	2	0	3	0	0	5	1	2	4	2	2	0	4	1	70	5	0	2	1	9	0	2	1	1	3	4	15	0	2	1	1	25	0	11	0	2	1	6	0	25	0	0	4	2	2	0	0	3	3	3	1	1	1	0	11	0	6	2	5	2	2	0	2	0	1	2	10	9	20	0	0	1	0	2	0	0	3	0	0	2	6	0	0	2	0	1	2	1	0	1	0	2	0	1	0	0	0	1	2	8	2	0	3	1	6	4	0	1	0	0	0	0	1	0	4	4	2	1	0	1	2	5	3	0	1	3	11	39	3	3	6	2	0	0	6	2	4	1	1	5	0	2	6	7	2	0	3	1	1	1	3	0	2
TMZ.com	0	0	0	1	1	0	2	13	0	1	1	0	6	3	3	0	14	0	7	2	1	1	0	0	2	0	1	1	1	0	30	3	0	0	2	5	10	3	0	4	27	0	0	1	0	0	0	0	0	0	0	0	0	0	3	4	1	4	0	6	0	1	0	0	0	0	0	2	0	2	3	0	0	1	1	4	0	3	0	50	0	0	1	0	12	1	2	2	6	3	1	2	1	1	0	3	0	0	7	0	0	4	0	0	28	0	1	0	0	0	1	2	1	0	2	0	3	1	6	10	0	13	0	1	1	0	2	3	2	0	0	7	9	20	3	1	1	1	3	0	0	1	2	1	0	2	0	0	2	0	1	0	1	0	0	3	0	0	0	0	2	0	4	1	1	1	1	4	1	4	4	0	4	0	0	0	1	1	2	1	2	2	2	0	6	0	2	0	0	0	0	7	16	0	2	0	1	1	0	13	2	5	2	0	3	0	0	0	11	0	4	4	1	0	0	1	0	0
kottke.org	11	5	22	6	12	6	6	165	4	5	17	5	19	4	5	13	77	12	0	5	2	14	13	11	16	2	2	7	9	11	88	2	4	3	15	4	51	26	34	28	168	4	3	29	9	3	5	3	17	14	7	10	7	5	1	30	22	17	4	36	2	40	2	4	5	16	1	7	4	7	5	2	16	34	3	13	13	21	1	354	2	1	1	7	39	0	23	3	20	6	12	64	5	3	8	5	2	1	25	0	6	5	36	7	179	2	4	5	3	0	1	7	4	8	13	1	5	4	2	103	6	19	10	27	4	6	5	9	8	1	2	81	76	124	11	12	9	11	5	4	6	6	2	4	4	9	2	4	11	7	5	2	8	2	1	2	5	8	10	2	1	12	2	6	20	16	37	37	17	30	6	5	1	1	3	4	2	1	0	13	0	11	12	3	5	0	0	2	10	4	0	58	211	36	14	13	23	8	1	26	7	31	4	6	31	7	7	0	17	19	19	16	2	7	9	8	4	8
O'Reilly Radar	0	0	0	3	0	0	0	6	0	0	1	1	4	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	2	7	0	0	1	0	0	2	3	1	2	13	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	1	0	0	1	3	0	2	0	0	0	0	0	0	2	1	0	1	0	0	1	2	3	22	0	0	0	1	0	0	1	0	0	2	0	10	1	0	1	1	0	0	0	0	0	0	3	0	8	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	3	0	0	0	0	0	0	1	10	7	4	1	0	0	2	0	1	7	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	2	2	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	10	1	1	6	1	0	2	0	0	2	1	0	6	0	0	0	0	2	0	1	0	1	0	0	1	0
ReadWrite	1	1	1	0	0	0	1	16	0	0	3	0	4	0	0	3	6	1	0	1	1	0	0	3	3	0	1	1	0	2	10	0	0	0	0	0	7	3	3	4	27	0	0	12	1	0	0	0	1	4	0	1	0	0	0	7	3	2	0	0	1	2	0	3	0	0	0	0	0	2	2	0	0	0	0	1	0	6	0	52	0	10	0	2	0	0	5	0	1	0	0	8	0	0	2	0	10	0	0	0	6	2	1	1	9	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	1	2	0	0	1	10	0	9	7	6	0	3	2	0	0	1	1	0	0	0	0	10	2	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	2	0	3	1	0	2	0	0	0	0	0	0	0	0	1	0	1	1	0	2	2	0	0	0	1	0	20	18	3	0	2	2	0	0	0	0	3	0	0	4	0	0	5	0	1	3	0	0	4	0	1	0	0
Lifehack	2	4	6	1	2	1	0	15	2	5	6	0	0	0	0	4	8	0	0	3	1	0	0	0	2	0	1	0	3	3	10	0	0	0	2	0	3	4	5	7	17	3	0	3	0	0	3	0	0	1	1	0	0	2	0	4	2	2	1	0	0	5	2	1	2	0	0	1	4	1	1	1	2	4	0	0	0	4	0	43	0	20	0	0	0	0	15	0	1	0	0	10	0	2	7	2	5	0	7	2	22	1	27	0	22	3	0	0	0	0	0	1	0	0	0	2	4	0	0	2	0	0	1	0	3	2	0	2	1	20	0	3	5	3	2	4	0	0	0	3	3	3	0	1	1	20	1	2	0	2	5	0	0	0	3	0	1	1	3	0	0	2	0	1	6	2	2	0	1	0	5	1	0	2	2	0	0	0	0	1	0	2	8	0	0	0	0	0	1	0	0	22	15	2	3	4	1	0	0	0	0	8	0	0	1	0	0	2	0	7	0	4	5	8	1	2	0	0
Lifehacker	2	2	3	7	2	6	1	20	2	0	2	1	5	1	1	1	13	6	1	0	0	5	1	0	3	0	1	1	0	1	17	0	1	1	2	0	13	6	3	2	48	0	2	28	3	2	0	0	1	1	3	0	2	2	0	4	2	4	0	0	1	9	2	1	2	2	0	4	0	1	0	0	2	4	2	3	3	5	0	43	0	0	2	4	5	0	8	2	5	2	0	6	0	0	2	1	25	0	6	1	32	4	30	1	38	3	0	2	3	0	0	0	1	2	5	0	4	2	0	4	0	2	3	3	3	0	3	1	0	0	1	12	27	20	8	6	0	0	0	0	0	0	0	0	1	3	1	2	2	1	2	2	1	1	3	0	4	0	5	0	1	0	1	1	8	6	4	12	0	3	6	0	0	3	1	0	0	2	1	2	2	1	6	0	0	1	2	0	0	1	0	14	24	8	1	4	1	2	0	2	0	4	0	1	6	1	2	0	2	1	2	0	2	3	1	1	1	2
Valleywag	4	1	3	3	2	0	0	35	3	1	1	1	4	1	0	6	13	1	0	1	0	6	1	0	5	0	1	2	0	0	31	0	1	2	1	7	3	3	3	14	40	2	1	29	9	0	1	0	3	3	2	0	4	0	2	9	11	5	0	0	0	9	0	2	0	2	5	3	1	4	5	1	4	1	1	3	2	2	7	65	0	2	1	2	9	0	3	0	3	2	2	17	3	0	0	2	25	0	4	2	4	0	13	2	46	1	0	2	0	2	0	0	0	0	1	0	1	0	1	1	1	5	1	6	2	0	0	0	1	0	0	15	14	26	9	2	2	0	4	0	5	4	0	2	0	1	2	0	3	2	2	2	1	2	5	1	0	1	0	1	0	1	0	3	3	5	5	8	3	0	9	1	2	0	0	3	0	0	5	6	0	6	1	8	1	2	0	0	0	1	1	9	32	4	1	4	2	1	1	3	1	6	1	1	7	2	2	1	3	7	3	4	1	5	0	0	0	1
Boing Boing	6	3	6	2	4	0	2	88	3	2	3	7	11	2	3	7	35	2	0	2	3	4	3	3	4	4	2	1	5	1	35	1	3	2	3	7	24	16	13	16	95	2	5	17	2	1	2	0	2	6	4	2	2	0	1	8	24	10	2	2	4	21	1	5	1	5	0	7	2	2	8	7	2	8	2	5	3	4	2	172	0	0	0	3	17	1	13	2	6	7	6	31	4	0	4	3	2	1	15	5	12	0	24	5	91	4	3	2	0	0	1	1	7	0	1	2	1	6	7	27	3	19	5	9	5	2	4	1	11	0	0	32	23	57	7	4	0	2	3	4	1	8	1	1	1	4	3	0	3	3	6	2	1	1	0	2	2	2	3	1	2	2	6	1	7	12	5	11	1	7	6	4	0	2	1	1	0	2	1	6	4	7	6	0	1	0	8	2	1	2	0	21	82	13	4	12	4	0	0	5	2	6	6	6	22	3	3	1	15	9	9	8	0	7	6	7	5	1
WIRED	0	0	5	0	1	0	2	6	0	0	0	0	0	0	0	0	5	2	0	0	0	1	0	0	0	0	2	0	0	0	6	0	0	0	1	0	0	3	0	2	7	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	3	1	0	0	2	0	1	0	0	0	0	0	0	3	0	0	0	0	4	0	1	2	32	0	10	0	2	2	0	5	2	2	0	0	1	0	0	0	0	0	0	1	0	1	0	2	0	13	0	0	0	0	0	0	3	0	0	1	0	1	0	0	2	0	0	1	2	0	0	1	0	0	10	0	1	4	6	2	2	2	0	0	0	2	0	0	0	0	11	1	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	12	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2
Gizmodo	4	0	7	1	5	5	1	20	9	2	1	0	2	2	1	3	15	2	0	0	0	6	2	0	11	1	0	0	0	3	23	1	1	1	2	0	8	8	2	8	44	0	2	27	0	0	3	1	0	1	0	2	1	1	3	5	4	5	8	2	0	12	0	5	1	4	0	2	0	1	3	3	3	2	0	4	2	4	2	64	1	0	1	0	10	1	3	2	2	2	3	25	4	0	0	2	26	0	6	0	4	1	11	0	33	1	2	2	3	3	0	1	1	0	5	1	3	0	0	11	4	8	0	8	1	7	3	2	0	0	2	18	16	13	3	2	0	6	0	0	0	1	0	0	1	3	0	0	0	2	2	3	0	0	0	0	0	0	5	1	0	0	0	0	11	3	6	4	3	5	2	0	2	0	0	1	0	1	2	6	4	1	1	0	1	2	5	4	1	0	2	19	41	5	2	10	6	1	0	5	1	6	1	2	3	1	0	6	5	2	1	3	2	2	1	2	2	4
Oilman	0	1	3	2	0	0	1	17	3	1	0	2	2	0	1	4	3	1	0	2	0	4	1	0	2	0	1	0	0	2	8	0	1	1	0	0	0	0	3	2	15	2	0	2	0	0	5	0	1	1	1	3	1	0	0	2	5	4	0	0	0	3	0	1	0	2	2	1	0	1	0	0	0	1	0	2	0	5	1	21	0	2	2	1	1	0	1	0	2	3	1	6	1	0	0	0	0	0	3	0	0	1	4	0	13	0	1	0	0	0	1	0	0	0	3	2	0	2	0	24	2	0	1	3	0	0	1	1	0	0	0	6	17	9	1	0	1	5	1	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	4	2	3	2	2	6	1	0	0	0	2	0	4	0	1	2	0	1	1	0	1	2	0	1	2	1	2	5	9	2	0	1	3	2	1	0	0	1	0	1	2	1	0	1	1	1	0	0	3	0	0	2	1	0
Guy Kawasaki	1	1	10	1	2	0	0	19	0	0	0	0	1	0	0	2	8	1	0	0	0	3	0	0	0	0	0	0	0	1	11	2	0	0	0	0	3	2	1	3	26	0	0	1	0	0	0	0	2	1	0	1	0	0	1	1	2	1	0	0	2	4	0	0	0	0	0	0	0	1	0	0	1	4	0	0	6	0	0	38	0	12	0	0	1	0	0	0	2	0	0	6	2	0	1	3	0	1	3	0	3	0	6	0	29	2	0	0	0	0	0	0	0	0	0	2	0	0	0	8	0	1	0	0	0	0	0	4	0	10	0	7	8	9	3	0	0	1	0	0	2	1	0	0	0	10	0	0	3	0	0	0	0	0	2	0	3	0	2	0	0	0	0	3	2	3	2	1	0	3	0	0	0	0	2	0	2	0	0	0	0	0	2	4	0	0	0	1	1	0	0	12	14	3	6	2	0	0	0	0	3	8	3	1	3	0	0	0	0	3	0	2	4	1	1	0	1	0
Seth Godin's Blog on marketing, tribes and respect	0	0	2	1	0	1	0	5	0	2	1	0	0	0	0	2	4	2	0	0	0	1	0	0	3	0	1	2	0	0	7	0	0	3	1	0	2	2	1	3	11	0	0	0	0	3	1	1	0	0	0	1	1	0	1	1	3	2	0	0	1	2	1	0	0	0	0	0	1	3	0	0	0	4	0	0	1	7	0	23	0	0	0	1	0	0	2	0	1	1	0	6	0	0	1	0	0	0	4	1	2	0	5	2	19	0	0	0	0	0	0	0	0	0	0	2	1	0	4	2	0	2	0	0	1	0	2	0	1	0	2	8	6	2	4	0	1	1	0	1	0	0	0	2	2	0	2	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	3	2	0	0	6	10	3	0	0	5	0	1	1	0	4	1	1	3	0	0	2	0	0	0	2	0	1	0	0	0	1
